FunctionAn,Category,Function,Gene.abbreviation,Corresponding.KO
Function717,Lipid metabolism,M00098+02,Acylglycerol degradation,(K01054 or K25824)
Function718,Lipid metabolism,M00099+01,Sphingosine biosynthesis,K00654
Function719,Lipid metabolism,M00099+02,Sphingosine biosynthesis,K04708
Function720,Lipid metabolism,M00099+03,Sphingosine biosynthesis,(K04709 or K04710 or K24621 or K24622 or K23727)
Function721,Lipid metabolism,M00099+04,Sphingosine biosynthesis,K04712
Function722,Lipid metabolism,M00099+05,Sphingosine biosynthesis,(K01441 or K12348 or K12349)
Function723,Lipid metabolism,M00100+01,Sphingosine degradation,K04718
Function724,Lipid metabolism,M00100+02,Sphingosine degradation,K01634
Function725,Sterol biosynthesis,M00101+01,"Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol",K01852
Function726,Sterol biosynthesis,M00101+02,"Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol",K05917
Function727,Sterol biosynthesis,M00101+03,"Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol",(K00222 or K19532)
Function728,Sterol biosynthesis,M00101+04,"Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol",K07750
Function729,Sterol biosynthesis,M00101+05,"Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol",K07748
Function730,Sterol biosynthesis,M00101+06,"Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol",K13373
Function731,Sterol biosynthesis,M00101+07,"Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol",K09828
Function732,Sterol biosynthesis,M00101+08,"Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol",K01824
Function733,Sterol biosynthesis,M00101+09,"Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol",K00227
Function734,Sterol biosynthesis,M00101+10,"Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol",K00213
Function735,Sterol biosynthesis,M00102+01,"Ergocalciferol biosynthesis, squalene 2,3-epoxide => ergosterol/ergocalciferol",K01852
Function736,Sterol biosynthesis,M00102+02,"Ergocalciferol biosynthesis, squalene 2,3-epoxide => ergosterol/ergocalciferol",K05917
Function737,Sterol biosynthesis,M00102+03,"Ergocalciferol biosynthesis, squalene 2,3-epoxide => ergosterol/ergocalciferol",K00222
Function738,Sterol biosynthesis,M00102+04,"Ergocalciferol biosynthesis, squalene 2,3-epoxide => ergosterol/ergocalciferol",K07750
Function739,Sterol biosynthesis,M00102+05,"Ergocalciferol biosynthesis, squalene 2,3-epoxide => ergosterol/ergocalciferol",K07748
Function740,Sterol biosynthesis,M00102+06,"Ergocalciferol biosynthesis, squalene 2,3-epoxide => ergosterol/ergocalciferol",K09827
Function741,Sterol biosynthesis,M00102+07,"Ergocalciferol biosynthesis, squalene 2,3-epoxide => ergosterol/ergocalciferol",K00559
Function742,Sterol biosynthesis,M00102+08,"Ergocalciferol biosynthesis, squalene 2,3-epoxide => ergosterol/ergocalciferol",K09829
Function743,Sterol biosynthesis,M00102+09,"Ergocalciferol biosynthesis, squalene 2,3-epoxide => ergosterol/ergocalciferol",K00227
Function744,Sterol biosynthesis,M00102+10,"Ergocalciferol biosynthesis, squalene 2,3-epoxide => ergosterol/ergocalciferol",K09831
Function745,Sterol biosynthesis,M00102+11,"Ergocalciferol biosynthesis, squalene 2,3-epoxide => ergosterol/ergocalciferol",K00223
Function746,Sterol biosynthesis,M00103+01,Cholecalciferol biosynthesis,K07419
Function747,Sterol biosynthesis,M00103+02,Cholecalciferol biosynthesis,K07438
Function748,Sterol biosynthesis,M00104+01,"Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate",K00489
Function749,Sterol biosynthesis,M00104+02,"Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate",K12408
Function750,Sterol biosynthesis,M00104+03,"Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate",K07431
Function751,Sterol biosynthesis,M00104+04,"Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate",K00251
Function752,Sterol biosynthesis,M00104+05,"Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate",K00037
Function753,Sterol biosynthesis,M00104+06,"Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate",K00488
Function754,Sterol biosynthesis,M00104+07,"Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate",K08748
Function755,Sterol biosynthesis,M00104+08,"Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate",K01796
Function756,Sterol biosynthesis,M00104+09,"Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate",K10214
Function757,Sterol biosynthesis,M00104+10,"Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate",K12405
Function758,Sterol biosynthesis,M00104+11,"Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate",K08764
Function759,Sterol biosynthesis,M00104+12,"Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate",K11992
Function760,Sterol biosynthesis,M00106+01,"Conjugated bile acid biosynthesis, cholate => taurocholate/glycocholate",K08748
Function761,Sterol biosynthesis,M00106+02,"Conjugated bile acid biosynthesis, cholate => taurocholate/glycocholate",K00659
Function762,Sterol biosynthesis,M00107+01,"Steroid hormone biosynthesis, cholesterol => pregnenolone => progesterone",K00498
Function763,Sterol biosynthesis,M00107+02,"Steroid hormone biosynthesis, cholesterol => pregnenolone => progesterone",K00070
Function764,Sterol biosynthesis,M00108+01,"C21-Steroid hormone biosynthesis, progesterone => corticosterone/aldosterone",K00513
Function765,Sterol biosynthesis,M00108+02,"C21-Steroid hormone biosynthesis, progesterone => corticosterone/aldosterone",(K00497 or K07433)
Function766,Sterol biosynthesis,M00108+03,"C21-Steroid hormone biosynthesis, progesterone => corticosterone/aldosterone",K07433
Function767,Sterol biosynthesis,M00109+01,"C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone",K00512
Function768,Sterol biosynthesis,M00109+02,"C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone",K00513
Function769,Sterol biosynthesis,M00109+03,"C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone",K00497
Function770,Sterol biosynthesis,M00109+04,"C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone",(K15680 or K00071)
Function771,Sterol biosynthesis,M00110+01,"C19/C18-Steroid hormone biosynthesis, pregnenolone => androstenedione => estrone",K00512
Function772,Sterol biosynthesis,M00110+02,"C19/C18-Steroid hormone biosynthesis, pregnenolone => androstenedione => estrone",K00070
Function773,Sterol biosynthesis,M00110+03,"C19/C18-Steroid hormone biosynthesis, pregnenolone => androstenedione => estrone",K07434
Function774,Cofactor and vitamin metabolism,M00112+01,"Tocopherol/tocotorienol biosynthesis, homogentisate + phytyl/geranylgeranyl-PP => tocopherol/tocotorienol",K09833
Function775,Cofactor and vitamin metabolism,M00112+02,"Tocopherol/tocotorienol biosynthesis, homogentisate + phytyl/geranylgeranyl-PP => tocopherol/tocotorienol",(K12502 or K18534)
Function776,Cofactor and vitamin metabolism,M00112+03,"Tocopherol/tocotorienol biosynthesis, homogentisate + phytyl/geranylgeranyl-PP => tocopherol/tocotorienol",K09834
Function777,Cofactor and vitamin metabolism,M00112+04,"Tocopherol/tocotorienol biosynthesis, homogentisate + phytyl/geranylgeranyl-PP => tocopherol/tocotorienol",K05928
Function778,Lipid metabolism,M00113+01,Jasmonic acid biosynthesis,K00454
Function779,Lipid metabolism,M00113+02,Jasmonic acid biosynthesis,K01723
Function780,Lipid metabolism,M00113+03,Jasmonic acid biosynthesis,K10525
Function781,Lipid metabolism,M00113+04,Jasmonic acid biosynthesis,K05894
Function782,Lipid metabolism,M00113+05,Jasmonic acid biosynthesis,K10526
Function783,Lipid metabolism,M00113+06,Jasmonic acid biosynthesis,K00232
Function784,Lipid metabolism,M00113+07,Jasmonic acid biosynthesis,K10527
Function785,Lipid metabolism,M00113+08,Jasmonic acid biosynthesis,K07513
Function786,Other carbohydrate metabolism,M00114+01,"Ascorbate biosynthesis, plants, fructose-6P => ascorbate",K01809
Function787,Other carbohydrate metabolism,M00114+02,"Ascorbate biosynthesis, plants, fructose-6P => ascorbate",K17497
Function788,Other carbohydrate metabolism,M00114+03,"Ascorbate biosynthesis, plants, fructose-6P => ascorbate",K00966
Function789,Other carbohydrate metabolism,M00114+04,"Ascorbate biosynthesis, plants, fructose-6P => ascorbate",K10046
Function790,Other carbohydrate metabolism,M00114+05,"Ascorbate biosynthesis, plants, fructose-6P => ascorbate",K14190
Function791,Other carbohydrate metabolism,M00114+06,"Ascorbate biosynthesis, plants, fructose-6P => ascorbate",K10047
Function792,Other carbohydrate metabolism,M00114+07,"Ascorbate biosynthesis, plants, fructose-6P => ascorbate",K17744
Function793,Other carbohydrate metabolism,M00114+08,"Ascorbate biosynthesis, plants, fructose-6P => ascorbate",K00225
Function794,Cofactor and vitamin metabolism,M00115+01,"NAD biosynthesis, aspartate => quinolinate => NAD",(K00278 or K06989)
Function795,Cofactor and vitamin metabolism,M00115+02,"NAD biosynthesis, aspartate => quinolinate => NAD",K03517
Function796,Cofactor and vitamin metabolism,M00115+03,"NAD biosynthesis, aspartate => quinolinate => NAD",K00767
Function797,Cofactor and vitamin metabolism,M00115+04,"NAD biosynthesis, aspartate => quinolinate => NAD",(K00969 or K06210)
Function798,Cofactor and vitamin metabolism,M00115+05,"NAD biosynthesis, aspartate => quinolinate => NAD",(K01916 or K01950)
Function799,Cofactor and vitamin metabolism,M00116+01,"Menaquinone biosynthesis, chorismate (+ polyprenyl-PP) => menaquinol",K02552
Function800,Cofactor and vitamin metabolism,M00116+02,"Menaquinone biosynthesis, chorismate (+ polyprenyl-PP) => menaquinol",K02551
Function801,Cofactor and vitamin metabolism,M00116+03,"Menaquinone biosynthesis, chorismate (+ polyprenyl-PP) => menaquinol",K08680
Function802,Cofactor and vitamin metabolism,M00116+04,"Menaquinone biosynthesis, chorismate (+ polyprenyl-PP) => menaquinol",K02549
Function803,Cofactor and vitamin metabolism,M00116+05,"Menaquinone biosynthesis, chorismate (+ polyprenyl-PP) => menaquinol",K01911
Function804,Cofactor and vitamin metabolism,M00116+06,"Menaquinone biosynthesis, chorismate (+ polyprenyl-PP) => menaquinol",K01661
Function805,Cofactor and vitamin metabolism,M00116+07,"Menaquinone biosynthesis, chorismate (+ polyprenyl-PP) => menaquinol",K19222
Function806,Cofactor and vitamin metabolism,M00116+08,"Menaquinone biosynthesis, chorismate (+ polyprenyl-PP) => menaquinol",K02548
Function807,Cofactor and vitamin metabolism,M00116+09,"Menaquinone biosynthesis, chorismate (+ polyprenyl-PP) => menaquinol",K03183
Function808,Cofactor and vitamin metabolism,M00117+01,"Ubiquinone biosynthesis, prokaryotes, chorismate (+ polyprenyl-PP) => ubiquinol",(K03181 or K18240)
Function809,Cofactor and vitamin metabolism,M00117+02,"Ubiquinone biosynthesis, prokaryotes, chorismate (+ polyprenyl-PP) => ubiquinol",K03179
Function810,Cofactor and vitamin metabolism,M00117+03,"Ubiquinone biosynthesis, prokaryotes, chorismate (+ polyprenyl-PP) => ubiquinol",(K03182 and K03186)
Function811,Cofactor and vitamin metabolism,M00117+04,"Ubiquinone biosynthesis, prokaryotes, chorismate (+ polyprenyl-PP) => ubiquinol",K18800
Function812,Cofactor and vitamin metabolism,M00117+05,"Ubiquinone biosynthesis, prokaryotes, chorismate (+ polyprenyl-PP) => ubiquinol",K00568
Function813,Cofactor and vitamin metabolism,M00117+06,"Ubiquinone biosynthesis, prokaryotes, chorismate (+ polyprenyl-PP) => ubiquinol",K03185
Function814,Cofactor and vitamin metabolism,M00117+07,"Ubiquinone biosynthesis, prokaryotes, chorismate (+ polyprenyl-PP) => ubiquinol",K03183
Function815,Cofactor and vitamin metabolism,M00117+08,"Ubiquinone biosynthesis, prokaryotes, chorismate (+ polyprenyl-PP) => ubiquinol",(K03184 or K06134)
Function816,Cofactor and vitamin metabolism,M00117+09,"Ubiquinone biosynthesis, prokaryotes, chorismate (+ polyprenyl-PP) => ubiquinol",K00568
Function817,Other amino acid metabolism,M00118+01,"Glutathione biosynthesis, glutamate => glutathione",(K11204 and K11205 or K01919)
Function818,Other amino acid metabolism,M00118+02,"Glutathione biosynthesis, glutamate => glutathione",(K21456 or K01920)
Function819,Cofactor and vitamin metabolism,M00119+01,"Pantothenate biosynthesis, valine/L-aspartate => pantothenate",K00826
Function820,Cofactor and vitamin metabolism,M00119+02,"Pantothenate biosynthesis, valine/L-aspartate => pantothenate",K00606
Function821,Cofactor and vitamin metabolism,M00119+03,"Pantothenate biosynthesis, valine/L-aspartate => pantothenate",K00077
Function822,Cofactor and vitamin metabolism,M00120+01,"Coenzyme A biosynthesis, pantothenate => CoA",(K00867 or K03525 or K01947 or K09680)
Function823,Cofactor and vitamin metabolism,M00120+02,"Coenzyme A biosynthesis, pantothenate => CoA",((K01922 or K21977) and K01598 or K13038)
Function824,Cofactor and vitamin metabolism,M00120+03,"Coenzyme A biosynthesis, pantothenate => CoA",(K02318 or (K00954 or K02201) and K00859)
Function825,Cofactor and vitamin metabolism,M00121+01,"Heme biosynthesis, plants and bacteria, glutamate => heme",K01885
Function826,Cofactor and vitamin metabolism,M00121+02,"Heme biosynthesis, plants and bacteria, glutamate => heme",K02492
Function827,Cofactor and vitamin metabolism,M00121+03,"Heme biosynthesis, plants and bacteria, glutamate => heme",K01845
Function828,Cofactor and vitamin metabolism,M00121+04,"Heme biosynthesis, plants and bacteria, glutamate => heme",K01698
Function829,Cofactor and vitamin metabolism,M00121+05,"Heme biosynthesis, plants and bacteria, glutamate => heme",K01749
Function830,Cofactor and vitamin metabolism,M00121+06,"Heme biosynthesis, plants and bacteria, glutamate => heme",(K01719 or K13542 or K13543)
Function831,Cofactor and vitamin metabolism,M00121+07,"Heme biosynthesis, plants and bacteria, glutamate => heme",K01599
Function832,Cofactor and vitamin metabolism,M00121+08,"Heme biosynthesis, plants and bacteria, glutamate => heme",(K00228 or K02495)
Function833,Cofactor and vitamin metabolism,M00121+09,"Heme biosynthesis, plants and bacteria, glutamate => heme",(K00230 or K00231 or K08973)
Function834,Cofactor and vitamin metabolism,M00121+10,"Heme biosynthesis, plants and bacteria, glutamate => heme",K01772
Function835,Cofactor and vitamin metabolism,M00122+01,"Cobalamin biosynthesis, cobyrinate a,c-diamide => cobalamin",(K00798 or K19221)
Function836,Cofactor and vitamin metabolism,M00122+02,"Cobalamin biosynthesis, cobyrinate a,c-diamide => cobalamin",K02232
Function837,Cofactor and vitamin metabolism,M00122+03,"Cobalamin biosynthesis, cobyrinate a,c-diamide => cobalamin",(K02225 or K02227)
Function838,Cofactor and vitamin metabolism,M00122+04,"Cobalamin biosynthesis, cobyrinate a,c-diamide => cobalamin",K02231
Function839,Cofactor and vitamin metabolism,M00123+01,"Biotin biosynthesis, pimeloyl-ACP/CoA => biotin",K00652
Function840,Cofactor and vitamin metabolism,M00123+02,"Biotin biosynthesis, pimeloyl-ACP/CoA => biotin",((K00833 or K19563) and K01935 or K19562)
Function841,Cofactor and vitamin metabolism,M00123+03,"Biotin biosynthesis, pimeloyl-ACP/CoA => biotin",K01012
Function842,Cofactor and vitamin metabolism,M00124+01,"Pyridoxal-P biosynthesis, erythrose-4P => pyridoxal-P",K03472
Function843,Cofactor and vitamin metabolism,M00124+02,"Pyridoxal-P biosynthesis, erythrose-4P => pyridoxal-P",K03473
Function844,Cofactor and vitamin metabolism,M00124+03,"Pyridoxal-P biosynthesis, erythrose-4P => pyridoxal-P",K00831
Function845,Cofactor and vitamin metabolism,M00124+04,"Pyridoxal-P biosynthesis, erythrose-4P => pyridoxal-P",K00097
Function846,Cofactor and vitamin metabolism,M00124+05,"Pyridoxal-P biosynthesis, erythrose-4P => pyridoxal-P",K03474
Function847,Cofactor and vitamin metabolism,M00124+06,"Pyridoxal-P biosynthesis, erythrose-4P => pyridoxal-P",K00275
Function848,Cofactor and vitamin metabolism,M00125+01,"Riboflavin biosynthesis, plants and bacteria, GTP => riboflavin/FMN/FAD",(K01497 or K14652)
Function849,Cofactor and vitamin metabolism,M00125+02,"Riboflavin biosynthesis, plants and bacteria, GTP => riboflavin/FMN/FAD",(K01498 and K00082 or K11752)
Function850,Cofactor and vitamin metabolism,M00125+03,"Riboflavin biosynthesis, plants and bacteria, GTP => riboflavin/FMN/FAD",(K22912 or K20860 or K20861 or K20862 or K21063 or K21064)
Function851,Cofactor and vitamin metabolism,M00126+01,"Tetrahydrofolate biosynthesis, GTP => THF",(K01495 or K09007 or K22391)
Function852,Cofactor and vitamin metabolism,M00126+02,"Tetrahydrofolate biosynthesis, GTP => THF",(K01077 or K01113 or (K08310 or K19965))
Function853,Cofactor and vitamin metabolism,M00126+03,"Tetrahydrofolate biosynthesis, GTP => THF",((K13939 or (K13940 or K01633 and K00950) and K00796) or (K01633 and K13941))
